Season,Date,Opponent Name,Michigan Score,Opponent Score,Event Type,Conference Game
1946-47,3/1/1947,Michigan State,59,47,Regular Season,No
1946-47,3/3/1947,Ohio State,66,62,Regular Season,Yes
1947-48,12/13/1947,Western Michigan,63,50,Regular Season,No
1947-48,12/18/1947,Michigan State,38,43,Regular Season,No
1947-48,12/20/1947,Marquette,78,70,Regular Season,No
1947-48,12/22/1947,USC,51,38,Regular Season,No
1947-48,12/29/1947,Iowa State,51,53,Regular Season,No
1947-48,12/30/1947,Iowa State,41,47,Regular Season,No
1947-48,1/3/1948,Toledo,58,52,Regular Season,No
1947-48,1/10/1948,Minnesota,43,41,Regular Season,Yes
1947-48,1/12/1948,Northwestern,48,51,Regular Season,Yes
1947-48,1/17/1948,Wisconsin,43,38,Regular Season,Yes
1947-48,1/31/1948,Northwestern,53,37,Regular Season,Yes
1947-48,2/2/1948,Ohio State,66,70,Regular Season,Yes
1947-48,2/7/1948,Illinois,66,57,Regular Season,Yes
1947-48,2/14/1948,Purdue,69,56,Regular Season,Yes
1947-48,2/16/1948,Indiana,66,54,Regular Season,Yes
1947-48,2/21/1948,Minnesota,56,45,Regular Season,Yes
1947-48,2/23/1948,Purdue,46,35,Regular Season,Yes
1947-48,2/28/1948,Ohio State,40,36,Regular Season,Yes
1947-48,3/1/1948,Iowa,51,35,Regular Season,Yes
1947-48,3/6/1948,Michigan State,69,28,Regular Season,No
1947-48,3/18/1948,Holy Cross,45,63,NCAA Tournament,No
1947-48,3/20/1948,Columbia,66,49,NCAA Tournament,No
1948-49,12/4/1948,Michigan State,66,33,Regular Season,No
1948-49,12/11/1948,Toledo,51,40,Regular Season,No
1948-49,12/13/1948,Pittsburgh,62,44,Regular Season,No
1948-49,12/17/1948,Colorado,47,38,Regular Season,No
1948-49,12/18/1948,Colorado A&M,56,37,Regular Season,No
1948-49,12/20/1948,Stanford,51,53,Regular Season,No
1948-49,12/21/1948,Santa Clara,53,37,Regular Season,No
1948-49,1/1/1949,Toledo,46,45,Regular Season,No
1948-49,1/8/1949,Minnesota,31,45,Regular Season,Yes
1948-49,1/10/1949,Purdue,36,45,Regular Season,Yes
1948-49,1/15/1949,Northwestern,53,40,Regular Season,Yes
1948-49,1/29/1949,Ohio State,54,48,Regular Season,Yes
1948-49,1/31/1949,Michigan State,49,38,Regular Season,No
1948-49,2/5/1949,Northwestern,54,46,Regular Season,Yes
1948-49,2/7/1949,Wisconsin,40,38,Regular Season,Yes
1948-49,2/12/1949,Indiana,54,47,Regular Season,Yes
1948-49,2/19/1949,Minnesota,47,54,Regular Season,Yes
1948-49,2/21/1949,Purdue,64,53,Regular Season,Yes
1948-49,2/26/1949,Ohio State,44,69,Regular Season,Yes
1948-49,3/5/1949,Iowa,62,63,Regular Season,Yes
1948-49,3/7/1949,Illinois,70,53,Regular Season,Yes
1949-50,12/3/1949,Michigan State,52,49,Regular Season,No
1949-50,12/6/1949,Miami (Ohio),79,48,Regular Season,No
1949-50,12/10/1949,Toledo,36,57,Regular Season,No
1949-50,12/14/1949,Butler,73,48,Regular Season,No
1949-50,12/19/1949,North Carolina State,54,46,Regular Season,No
1949-50,12/20/1949,North Carolina State,52,63,Regular Season,No
1949-50,12/27/1949,Missouri,46,47,Regular Season,No
1949-50,12/28/1949,Nebraska,67,65,Regular Season,No
1949-50,12/29/1949,Kansas,49,47,Regular Season,No
1949-50,1/7/1950,Iowa,66,46,Regular Season,Yes
1949-50,1/9/1950,Indiana,69,67,Regular Season,Yes
1949-50,1/14/1950,Wisconsin,41,53,Regular Season,Yes
1949-50,1/16/1950,Ohio State,58,74,Regular Season,Yes
1949-50,1/21/1950,Minnesota,52,60,Regular Season,Yes
1949-50,2/6/1950,Northwestern,59,44,Regular Season,Yes
1949-50,2/11/1950,Purdue,53,61,Regular Season,Yes
1949-50,2/13/1950,Minnesota,48,53,Regular Season,Yes
1949-50,2/18/1950,Illinois,60,70,Regular Season,Yes
1949-50,2/20/1950,Michigan State,70,53,Regular Season,No
1949-50,2/25/1950,Northwestern,53,76,Regular Season,Yes
1949-50,2/27/1950,Ohio State,58,69,Regular Season,Yes
1949-50,3/4/1950,Purdue,70,60,Regular Season,Yes
